data_set,window,p,d,q,P,D,Q,m,t,RMSE
diff,3000,0,0,0,0,0,0,0, None,98.6498602969851
diff,3000,0,0,0,2,0,0,0, None, None
diff,3000,0,0,0,2,0,0,7, None,7.53873194583921
diff,3000,0,0,1,0,0,0,0, None,50.6449173930093
diff,3000,0,0,1,0,0,0,7, None,50.6449173930093
diff,3000,0,0,1,1,0,1,0, None, None
diff,3000,0,0,1,1,0,1,7, None,12.4943497538311
diff,3000,1,0,1,0,0,0,0, None,3.99187986062029
diff,3000,1,0,1,0,0,0,7, None,3.99187986062029
diff,3000,1,0,1,1,0,0,0, None, None
diff,3000,1,0,1,1,0,0,7, None,3.90863642509561
diff,3000,1,0,1,1,0,1,0, None, None
diff,3000,1,0,1,1,0,1,7, None,3.62827930616242
diff,3000,2,0,0,1,0,1,0, None, None
diff,3000,2,0,0,1,0,1,7, None,3.6798568235163
diff,3000,2,0,1,1,0,0,0, None, None
diff,3000,2,0,1,1,0,0,7, None,3.92006434785076
diff,3000,2,0,1,2,0,0,0, None, None
diff,3000,2,0,1,2,0,0,7, None,3.79849163007057
diff,3000,0,0,0,0,0,0,7, None,98.6498602969851
diff,3000,0,0,0,1,0,1,0, None, None
diff,3000,0,0,0,1,0,1,7, None,7.43248689957497
diff,3000,0,0,1,0,0,1,0, None, None
diff,3000,0,0,1,0,0,1,7, None,30.1089064009059
diff,3000,1,0,0,0,0,0,0, None,3.87753737463914
diff,3000,1,0,0,0,0,0,7, None,3.87753737463914
diff,3000,1,0,0,0,0,1,0, None, None
diff,3000,1,0,0,0,0,1,7, None,3.82238059936081
diff,3000,1,0,0,1,0,0,0, None, None
diff,3000,1,0,0,1,0,0,7, None,3.80568471367208
diff,3000,1,0,0,1,0,1,0, None, None
diff,3000,1,0,0,1,0,1,7, None,3.50683208832393
diff,3000,1,0,0,2,0,1,0, None, None
diff,3000,1,0,0,2,0,1,7, None,3.5150424586399
diff,3000,2,0,0,2,0,1,0, None, None
diff,3000,2,0,0,2,0,1,7, None,3.69130786378851
diff,3000,0,0,0,0,0,1,7, None,51.8958096613932
diff,3000,0,0,1,1,0,0,0, None, None
diff,3000,0,0,1,1,0,0,7, None,5.55696951796053
diff,3000,0,0,1,2,0,0,0, None, None
diff,3000,0,0,1,2,0,0,7, None,6.84560885609312
diff,3000,1,0,0,2,0,0,0, None, None
diff,3000,1,0,0,2,0,0,7, None,3.70615234561152
diff,3000,1,0,1,0,0,1,0, None, None
diff,3000,1,0,1,0,0,1,7, None,3.92937749811338
diff,3000,1,0,1,2,0,0,0, None, None
diff,3000,1,0,1,2,0,0,7, None,3.78853921523091
diff,3000,2,0,0,0,0,0,0, None,4.00220232649914
diff,3000,2,0,0,0,0,0,7, None,4.00220232649914
diff,3000,2,0,0,0,0,1,0, None, None
diff,3000,2,0,0,0,0,1,7, None,3.94067169573412
diff,3000,2,0,0,1,0,0,0, None, None
diff,3000,2,0,0,1,0,0,7, None,3.91979366072993
diff,3000,2,0,0,2,0,0,0, None, None
diff,3000,2,0,0,2,0,0,7, None,3.8991549779859
diff,3000,2,0,1,0,0,0,0, None,4.00029755872848
diff,3000,2,0,1,0,0,0,7, None,4.00029755872848
diff,3000,2,0,1,0,0,1,0, None, None
diff,3000,2,0,1,0,0,1,7, None,3.94049787407954
diff,3000,2,0,1,1,0,1,0, None, None
diff,3000,2,0,1,1,0,1,7, None,3.69770002815201
diff,3000,0,0,0,0,0,1,0, None, None
diff,3000,0,0,0,1,0,0,0, None, None
diff,3000,0,0,0,1,0,0,7, None,7.43116531880278
diff,3000,0,0,0,2,0,1,0, None, None
diff,3000,0,0,0,2,0,1,7, None,7.48493271465114
diff,3000,0,0,1,2,0,1,0, None, None
diff,3000,0,0,1,2,0,1,7, None,19.443417642486
diff,3000,1,0,1,2,0,1,0, None, None
diff,3000,1,0,1,2,0,1,7, None,3.64019621603988
diff,3000,2,0,1,2,0,1,0, None, None
diff,3000,2,0,1,2,0,1,7, None,3.67208227375651
diff,730,0,0,0,0,0,0,7, None,98.6498602969851
diff,730,0,0,0,2,0,0,0, None, None
diff,730,0,0,0,2,0,0,7, None,7.53526983281409
diff,730,0,0,1,0,0,0,0, None,50.662584466989
diff,730,0,0,1,0,0,0,7, None,50.662584466989
diff,730,0,0,1,1,0,1,0, None, None
diff,730,0,0,1,1,0,1,7, None,6.25347418070834
diff,730,1,0,0,1,0,1,0, None, None
diff,730,1,0,0,1,0,1,7, None,3.59713475140869
diff,730,1,0,1,1,0,0,0, None, None
diff,730,1,0,1,1,0,0,7, None,3.96203320281668
diff,730,1,0,1,2,0,0,0, None, None
diff,730,1,0,1,2,0,0,7, None,3.8478299925476
diff,730,2,0,0,0,0,0,0, None,4.03597103495335
diff,730,2,0,0,0,0,0,7, None,4.03597103495335
diff,730,2,0,0,0,0,1,0, None, None
diff,730,2,0,0,0,0,1,7, None,3.99407970799662
