time_window,p,d,q,P,D,Q,m,t,RMSE
3000,0,0,0,1,0,1,0,None,None
3000,0,0,1,2,0,1,0,None,None
3000,1,0,0,0,0,0,0,None,0.043642161706192
3000,1,0,1,0,0,0,7,None,0.043509679276022
3000,2,0,1,0,0,0,7,None,0.042722532967427
3000,0,0,1,0,0,0,0,None,0.043665411054392
3000,1,0,1,1,0,0,0,None,None
3000,1,0,1,1,0,0,7,None,0.041901360713731
3000,0,0,0,0,0,1,7,None,0.042338706944405
3000,1,0,1,2,0,1,0,None,None
3000,1,0,1,2,0,1,7,None,None
3000,2,0,0,1,0,0,0,None,None
3000,2,0,0,1,0,0,7,None,0.041710010812723
3000,0,0,0,1,0,1,7,None,0.038577939263052
3000,1,0,0,0,0,0,7,None,0.043642161706192
3000,1,0,1,0,0,1,0,None,None
3000,1,0,1,0,0,1,7,None,0.042337184226049
3000,1,0,0,2,0,0,0,None,None
3000,1,0,0,2,0,0,7,None,0.040859800085193
3000,0,0,0,1,0,0,0,None,None
3000,0,0,1,2,0,0,7,None,0.040872422514286
3000,0,0,0,1,0,0,7,None,0.041878147411574
3000,1,0,1,2,0,0,0,None,None
3000,1,0,1,2,0,0,7,None,None
3000,0,0,0,0,0,0,7,None,0.043503301652363
3000,1,0,0,2,0,1,0,None,None
3000,1,0,0,2,0,1,7,None,None
3000,0,0,0,2,0,0,0,None,None
3000,0,0,0,2,0,1,0,None,None
3000,0,0,0,2,0,1,7,None,None
3000,0,0,1,1,0,1,0,None,None
3000,0,0,1,1,0,1,7,None,0.038866202195515
3000,0,0,0,0,0,1,0,None,None
3000,0,0,1,2,0,0,0,None,None
3000,0,0,1,2,0,1,7,None,None
3000,0,0,1,0,0,1,0,None,None
3000,0,0,1,0,0,1,7,None,0.042545148396237
3000,2,0,1,0,0,1,0,None,None
3000,2,0,1,0,0,1,7,None,0.041525661367555
3000,1,0,0,0,0,1,0,None,None
3000,1,0,0,0,0,1,7,None,0.042525643304937
3000,2,0,0,2,0,0,0,None,None
3000,2,0,0,2,0,0,7,None,0.040502142639683
3000,0,0,1,1,0,0,0,None,None
3000,0,0,1,1,0,0,7,None,0.042093260588175
3000,2,0,0,0,0,0,7,None,0.043035854535271
3000,2,0,1,1,0,0,0,None,None
3000,2,0,1,1,0,0,7,None,0.041021028237626
3000,0,0,0,0,0,0,0,None,0.043503301652363
3000,1,0,1,0,0,0,0,None,0.043509679276022
3000,2,0,0,1,0,1,0,None,None
3000,2,0,0,1,0,1,7,None,0.038705265866916
3000,1,0,0,1,0,1,0,None,None
3000,1,0,0,1,0,1,7,None,None
3000,2,0,1,1,0,1,0,None,None
3000,2,0,1,1,0,1,7,None,0.039081002844236
3000,1,0,0,1,0,0,0,None,None
3000,1,0,0,1,0,0,7,None,0.042077119881733
3000,2,0,0,0,0,1,0,None,None
3000,2,0,0,0,0,1,7,None,0.042104014490164
3000,2,0,1,2,0,0,0,None,None
3000,2,0,1,2,0,0,7,None,0.039731041562089
3000,0,0,0,2,0,0,7,None,0.040709845591952
3000,2,0,0,2,0,1,0,None,None
3000,2,0,0,2,0,1,7,None,0.038988645855074
3000,0,0,1,0,0,0,7,None,0.043665411054392
3000,1,0,1,1,0,1,0,None,None
3000,1,0,1,1,0,1,7,None,None
3000,2,0,0,0,0,0,0,None,0.043035854535271
3000,2,0,1,0,0,0,0,None,0.042722532967427
3000,2,0,1,2,0,1,0,None,None
3000,2,0,1,2,0,1,7,None,None
730,0,0,1,0,0,1,0,None,None
730,0,0,1,0,0,1,7,None,0.043046072190585
730,2,0,1,0,0,0,0,None,0.042946661283973
730,0,0,0,1,0,0,0,None,None
730,0,0,1,2,0,0,7,None,0.041568242622635
730,0,0,0,1,0,1,7,None,0.038865098384656
730,1,0,0,0,0,0,7,None,0.043883305711792
730,1,0,1,0,0,1,0,None,None
730,1,0,1,0,0,1,7,None,0.04193598991461
730,0,0,0,1,0,1,0,None,None
730,0,0,0,2,0,0,0,None,None
730,0,0,0,2,0,0,7,None,0.04124407053257
730,2,0,1,0,0,0,7,None,0.042946661283973
730,1,0,0,2,0,0,0,None,None
730,1,0,0,2,0,0,7,None,0.041565809381406
730,1,0,0,1,0,1,0,None,None
730,1,0,0,1,0,1,7,None,0.039306405300713
730,0,0,0,0,0,0,7,None,0.043503301652363
730,1,0,1,0,0,0,0,None,0.042811719152246
730,2,0,0,0,0,1,0,None,None
730,2,0,0,0,0,1,7,None,0.042672513484014
730,2,0,1,1,0,1,0,None,None
730,2,0,1,1,0,1,7,None,None
730,0,0,1,1,0,1,0,None,None
730,0,0,1,1,0,1,7,None,0.0392914311113
