indeksy RDNg dla okresu od;2016-01-01;do;2020-01-19;

data dostawy;indeks;kurs (PLN/MWh);wolumen (MWh)
2016-01-02;TGEgasDA;72.07;120048.00
2016-01-03;TGEgasDA;70.97;111120.00
2016-01-04;TGEgasDA;72.21;158400.00
2016-01-05;TGEgasDA;73.73;216288.00
2016-01-06;TGEgasDA;74.75;196752.00
2016-01-07;TGEgasDA;74.85;176688.00
2016-01-08;TGEgasDA;74.24;158208.00
2016-01-09;TGEgasDA;73.25;125352.00
2016-01-10;TGEgasDA;73.95;23688.00
2016-01-11;TGEgasDA;76.68;89040.00
2016-01-12;TGEgasDA;76.73;83856.00
2016-01-13;TGEgasDA;76.32;82464.00
2016-01-14;TGEgasDA;73.93;89736.00
2016-01-15;TGEgasDA;72.90;90792.00
2016-01-16;TGEgasDA;71.17;210984.00
2016-01-17;TGEgasDA;72.98;18936.00
2016-01-18;TGEgasDA;73.86;94704.00
2016-01-19;TGEgasDA;72.22;133272.00
2016-01-20;TGEgasDA;72.57;116472.00
2016-01-21;TGEgasDA;68.76;121320.00
2016-01-22;TGEgasDA;68.54;177192.00
2016-01-23;TGEgasDA;69.24;109632.00
2016-01-24;TGEgasDA;69.51;21576.00
2016-01-25;TGEgasDA;70.54;78288.00
2016-01-26;TGEgasDA;69.04;64656.00
2016-01-27;TGEgasDA;66.02;38784.00
2016-01-28;TGEgasDA;66.77;31824.00
2016-01-29;TGEgasDA;67.66;37992.00
2016-01-30;TGEgasDA;61.39;30336.00
2016-01-31;TGEgasDA;62.04;4680.00
2016-02-01;TGEgasDA;63.93;34680.00
2016-02-02;TGEgasDA;63.49;47208.00
2016-02-03;TGEgasDA;62.12;48456.00
2016-02-04;TGEgasDA;63.58;57960.00
2016-02-05;TGEgasDA;63.53;75768.00
2016-02-06;TGEgasDA;62.99;84024.00
2016-02-07;TGEgasDA;60.27;4488.00
2016-02-08;TGEgasDA;64.27;37920.00
2016-02-09;TGEgasDA;62.49;42672.00
2016-02-10;TGEgasDA;63.68;41616.00
2016-02-11;TGEgasDA;62.15;42480.00
2016-02-12;TGEgasDA;63.83;57168.00
2016-02-13;TGEgasDA;64.40;84888.00
2016-02-14;TGEgasDA;62.17;5688.00
2016-02-15;TGEgasDA;66.62;20376.00
2016-02-16;TGEgasDA;64.67;40584.00
2016-02-17;TGEgasDA;65.98;34512.00
2016-02-18;TGEgasDA;64.75;44328.00
2016-02-19;TGEgasDA;64.04;47376.00
2016-02-20;TGEgasDA;62.62;83496.00
2016-02-21;TGEgasDA;60.21;7584.00
2016-02-22;TGEgasDA;62.57;40848.00
2016-02-23;TGEgasDA;62.97;53592.00
2016-02-24;TGEgasDA;63.50;43776.00
2016-02-25;TGEgasDA;62.41;76920.00
2016-02-26;TGEgasDA;60.86;79512.00
2016-02-27;TGEgasDA;61.45;108168.00
2016-02-28;TGEgasDA;61.48;11184.00
2016-02-29;TGEgasDA;63.59;69288.00
2016-03-01;TGEgasDA;62.55;84888.00
2016-03-02;TGEgasDA;62.36;83448.00
2016-03-02;TGEsgtDA;-;-
2016-03-03;TGEgasDA;62.49;77592.00
2016-03-03;TGEsgtDA;-;-
2016-03-04;TGEgasDA;61.65;59040.00
2016-03-04;TGEsgtDA;-;-
2016-03-05;TGEgasDA;60.85;46584.00
2016-03-05;TGEsgtDA;-;-
2016-03-06;TGEgasDA;61.75;4824.00
2016-03-06;TGEsgtDA;-;-
2016-03-07;TGEgasDA;63.11;37008.00
2016-03-07;TGEsgtDA;-;-
2016-03-08;TGEgasDA;60.74;69672.00
2016-03-08;TGEsgtDA;-;-
2016-03-09;TGEgasDA;60.87;56232.00
2016-03-09;TGEsgtDA;-;-
2016-03-10;TGEgasDA;60.55;52944.00
2016-03-10;TGEsgtDA;-;-
2016-03-11;TGEgasDA;60.31;41040.00
2016-03-11;TGEsgtDA;-;-
2016-03-12;TGEgasDA;59.47;44352.00
2016-03-12;TGEsgtDA;-;-
2016-03-13;TGEgasDA;61.29;16512.00
2016-03-13;TGEsgtDA;-;-
2016-03-14;TGEgasDA;62.25;55536.00
2016-03-14;TGEsgtDA;-;-
2016-03-15;TGEgasDA;61.91;64704.00
2016-03-15;TGEsgtDA;-;-
2016-03-16;TGEgasDA;60.57;73872.00
2016-03-16;TGEsgtDA;-;-
2016-03-17;TGEgasDA;61.30;75288.00
2016-03-17;TGEsgtDA;-;-
2016-03-18;TGEgasDA;60.46;52872.00
2016-03-18;TGEsgtDA;-;-
2016-03-19;TGEgasDA;59.89;82296.00
2016-03-19;TGEsgtDA;-;-
2016-03-20;TGEgasDA;59.91;5424.00
2016-03-20;TGEsgtDA;-;-
2016-03-21;TGEgasDA;60.99;56712.00
2016-03-21;TGEsgtDA;-;-
2016-03-22;TGEgasDA;59.41;78672.00
2016-03-22;TGEsgtDA;-;-
2016-03-23;TGEgasDA;58.34;73992.00
2016-03-23;TGEsgtDA;-;-
2016-03-24;TGEgasDA;58.01;74952.00
2016-03-24;TGEsgtDA;-;-
2016-03-25;TGEgasDA;58.21;98529.00
2016-03-25;TGEsgtDA;-;-
2016-03-26;TGEgasDA;57.33;27917.00
2016-03-26;TGEsgtDA;-;-
2016-03-27;TGEgasDA;52.46;18528.00
2016-03-27;TGEsgtDA;-;-
2016-03-28;TGEgasDA;52.82;47640.00
2016-03-28;TGEsgtDA;-;-
2016-03-29;TGEgasDA;56.57;41952.00
2016-03-29;TGEsgtDA;-;-
2016-03-30;TGEgasDA;57.09;43032.00
2016-03-30;TGEsgtDA;-;-
2016-03-31;TGEgasDA;56.34;29712.00
2016-03-31;TGEsgtDA;-;-
2016-04-01;TGEgasDA;58.16;136416.00
2016-04-01;TGEsgtDA;-;-
2016-04-02;TGEgasDA;57.76;135432.00
2016-04-02;TGEsgtDA;-;-
2016-04-03;TGEgasDA;57.39;37560.00
2016-04-03;TGEsgtDA;-;-
2016-04-04;TGEgasDA;58.03;51984.00
2016-04-04;TGEsgtDA;-;-
2016-04-05;TGEgasDA;56.87;60096.00
2016-04-05;TGEsgtDA;-;-
2016-04-06;TGEgasDA;55.74;56544.00
2016-04-06;TGEsgtDA;-;-
2016-04-07;TGEgasDA;56.05;52032.00
2016-04-07;TGEsgtDA;-;-
2016-04-08;TGEgasDA;56.76;54024.00
2016-04-08;TGEsgtDA;-;-
2016-04-09;TGEgasDA;56.47;90168.00
2016-04-09;TGEsgtDA;-;-
2016-04-10;TGEgasDA;59.47;18648.00
2016-04-10;TGEsgtDA;-;-
2016-04-11;TGEgasDA;62.74;71568.00
2016-04-11;TGEsgtDA;-;-
2016-04-12;TGEgasDA;57.07;69408.00
2016-04-12;TGEsgtDA;-;-
2016-04-13;TGEgasDA;59.44;52152.00
2016-04-13;TGEsgtDA;-;-
2016-04-14;TGEgasDA;59.12;71784.00
2016-04-14;TGEsgtDA;-;-
2016-04-15;TGEgasDA;58.46;90768.00
2016-04-15;TGEsgtDA;-;-
2016-04-16;TGEgasDA;57.69;88944.00
2016-04-16;TGEsgtDA;-;-
2016-04-17;TGEgasDA;55.89;3096.00
2016-04-17;TGEsgtDA;-;-
2016-04-18;TGEgasDA;59.44;65976.00
2016-04-18;TGEsgtDA;-;-
2016-04-19;TGEgasDA;59.11;78768.00
2016-04-19;TGEsgtDA;-;-
2016-04-20;TGEgasDA;59.71;80424.00
2016-04-20;TGEsgtDA;-;-
2016-04-21;TGEgasDA;62.19;80496.00
2016-04-21;TGEsgtDA;-;-
2016-04-22;TGEgasDA;64.69;68496.00
2016-04-22;TGEsgtDA;-;-
2016-04-23;TGEgasDA;65.16;122256.00
2016-04-23;TGEsgtDA;-;-
2016-04-24;TGEgasDA;66.83;16512.00
2016-04-24;TGEsgtDA;-;-
2016-04-25;TGEgasDA;69.40;82200.00
2016-04-25;TGEsgtDA;-;-
2016-04-26;TGEgasDA;68.11;74952.00
2016-04-26;TGEsgtDA;-;-
2016-04-27;TGEgasDA;69.35;91128.00
2016-04-27;TGEsgtDA;-;-
2016-04-28;TGEgasDA;72.51;76176.00
2016-04-28;TGEsgtDA;-;-
2016-04-29;TGEgasDA;68.82;67224.00
2016-04-29;TGEsgtDA;-;-
2016-04-30;TGEgasDA;62.44;46032.00
2016-04-30;TGEsgtDA;-;-
2016-05-01;TGEgasDA;64.15;34104.00
2016-05-01;TGEsgtDA;-;-
2016-05-02;TGEgasDA;66.00;60480.00
2016-05-02;TGEsgtDA;-;-
2016-05-03;TGEgasDA;62.96;40992.00
2016-05-03;TGEsgtDA;-;-
2016-05-04;TGEgasDA;61.22;47376.00
2016-05-04;TGEsgtDA;-;-
2016-05-05;TGEgasDA;61.36;50232.00
2016-05-05;TGEsgtDA;-;-
2016-05-06;TGEgasDA;63.00;40872.00
2016-05-06;TGEsgtDA;-;-
2016-05-07;TGEgasDA;61.97;27048.00
2016-05-07;TGEsgtDA;-;-
2016-05-08;TGEgasDA;59.95;9264.00
2016-05-08;TGEsgtDA;-;-
2016-05-09;TGEgasDA;60.59;25224.00
2016-05-09;TGEsgtDA;-;-
2016-05-10;TGEgasDA;63.72;23016.00
2016-05-10;TGEsgtDA;-;-
2016-05-11;TGEgasDA;62.21;28680.00
2016-05-11;TGEsgtDA;-;-
2016-05-12;TGEgasDA;62.23;24984.00
2016-05-12;TGEsgtDA;-;-
2016-05-13;TGEgasDA;63.97;24288.00
2016-05-13;TGEsgtDA;-;-
2016-05-14;TGEgasDA;62.42;30120.00
2016-05-14;TGEsgtDA;-;-
2016-05-15;TGEgasDA;61.93;13632.00
2016-05-15;TGEsgtDA;-;-
2016-05-16;TGEgasDA;62.87;35328.00
2016-05-16;TGEsgtDA;-;-
2016-05-17;TGEgasDA;61.71;42864.00
2016-05-17;TGEsgtDA;-;-
2016-05-18;TGEgasDA;62.21;50376.00
2016-05-18;TGEsgtDA;-;-
2016-05-19;TGEgasDA;62.44;43824.00
2016-05-19;TGEsgtDA;-;-
2016-05-20;TGEgasDA;62.10;22608.00
2016-05-20;TGEsgtDA;-;-
