kontrakty RTT dla gazu ziemnego dla okresu od;2016-01-01;do;2020-05-14;

data obrotu;instrument;kurs pierwszej transakcji (PLN/MWh);DKR (PLN/MWh);kurs min. (PLN/MWh);kurs max. (PLN/MWh);wolumen (MWh);liczba kontraktow;wartosc obrotu (PLN);liczba transakcji;najlepsza oferta kupna (PLN/MWh);najlepsza oferta sprzedazy (PLN/MWh);LOP (MWh);LOP w liczbie kontraktow;wolumen od poczatku notowan (MWh);liczba kontraktow od poczatku notowan
2016-01-04;GAS_BASE_W-02-16;-;70.63;-;-;-;-;-;-;68.25;73.00;46200.00;275.00;46200.00;275.00
2016-01-04;GAS_BASE_W-03-16;-;-;-;-;-;-;-;-;69.50;74.00;-;-;-;-
2016-01-04;GAS_BASE_W-04-16;-;-;-;-;-;-;-;-;69.50;-;-;-;-;-
2016-01-04;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;69.00;-;-;-;-;-
2016-01-04;GAS_BASE_M-02-16;69.00;68.75;68.50;69.00;61944.00;89.00;4263000.00;12.00;69.10;68.50;9379296.00;13476.00;503208.00;723.00
2016-01-04;GAS_BASE_M-03-16;-;70.75;-;-;-;-;-;-;-;69.50;9575041.00;12887.00;58697.00;79.00
2016-01-04;GAS_BASE_M-04-16;69.00;69.00;69.00;69.00;3600.00;5.00;248400.00;2.00;69.00;69.00;3600.00;5.00;3600.00;5.00
2016-01-04;GAS_BASE_Q-2-16;-;69.00;-;-;-;-;-;-;69.00;69.25;9070152.00;4153.00;794976.00;364.00
2016-01-04;GAS_BASE_Q-3-16;-;68.63;-;-;-;-;-;-;68.25;69.00;8847456.00;4007.00;428352.00;194.00
2016-01-04;GAS_BASE_Q-4-16;74.00;74.00;74.00;74.00;11045.00;5.00;817330.00;1.00;74.00;74.00;9361742.00;4238.00;918944.00;416.00
2016-01-04;GAS_BASE_Q-1-17;-;81.70;-;-;-;-;-;-;74.90;76.75;2159.00;1.00;2159.00;1.00
2016-01-04;GAS_BASE_S-S-16;-;69.00;-;-;-;-;-;-;68.50;69.50;786168.00;179.00;1620648.00;369.00
2016-01-04;GAS_BASE_S-W-16;75.00;75.00;75.00;75.00;21840.00;5.00;1638000.00;1.00;75.00;75.00;1188096.00;272.00;1747200.00;400.00
2016-01-04;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-04;GAS_BASE_Y-17;74.00;74.18;74.00;74.35;61320.00;7.00;4543812.00;2.00;74.35;74.00;8470920.00;967.00;9338160.00;1066.00
2016-01-04;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;70.00;78.00;-;-;-;-
2016-01-05;GAS_BASE_W-02-16;-;73.00;-;-;-;-;-;-;72.50;73.50;46200.00;275.00;46200.00;275.00
2016-01-05;GAS_BASE_W-03-16;-;-;-;-;-;-;-;-;72.25;73.50;-;-;-;-
2016-01-05;GAS_BASE_W-04-16;-;-;-;-;-;-;-;-;72.50;-;-;-;-;-
2016-01-05;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;70.00;-;-;-;-;-
2016-01-05;GAS_BASE_M-02-16;-;70.08;-;-;-;-;-;-;69.90;70.25;9379296.00;13476.00;503208.00;723.00
2016-01-05;GAS_BASE_M-03-16;69.40;69.83;69.40;70.05;14117.00;19.00;986221.05;6.00;70.05;69.40;9578756.00;12892.00;72814.00;98.00
2016-01-05;GAS_BASE_M-04-16;71.40;71.26;71.00;71.40;39600.00;55.00;2820960.00;10.00;71.40;69.50;39600.00;55.00;43200.00;60.00
2016-01-05;GAS_BASE_Q-2-16;70.00;70.23;70.00;70.50;69888.00;32.00;4909632.00;7.00;70.50;70.00;9140040.00;4185.00;864864.00;396.00
2016-01-05;GAS_BASE_Q-3-16;69.00;69.00;69.00;69.00;22080.00;10.00;1523520.00;2.00;69.00;69.00;8869536.00;4017.00;450432.00;204.00
2016-01-05;GAS_BASE_Q-4-16;74.50;74.63;74.50;74.75;22090.00;10.00;1648466.25;2.00;75.00;74.50;9372787.00;4243.00;941034.00;426.00
2016-01-05;GAS_BASE_Q-1-17;-;77.62;-;-;-;-;-;-;76.00;77.00;2159.00;1.00;2159.00;1.00
2016-01-05;GAS_BASE_S-S-16;69.50;69.63;69.50;69.75;43920.00;10.00;3057930.00;2.00;69.75;69.50;808128.00;184.00;1664568.00;379.00
2016-01-05;GAS_BASE_S-W-16;-;75.75;-;-;-;-;-;-;75.50;75.75;1188096.00;272.00;1747200.00;400.00
2016-01-05;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-05;GAS_BASE_Y-17;-;74.50;-;-;-;-;-;-;74.20;74.80;8470920.00;967.00;9338160.00;1066.00
2016-01-05;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;70.00;77.00;-;-;-;-
2016-01-07;GAS_BASE_W-02-16;74.00;74.00;74.00;74.00;33600.00;200.00;2486400.00;2.00;74.00;74.00;79800.00;475.00;79800.00;475.00
2016-01-07;GAS_BASE_W-03-16;-;-;-;-;-;-;-;-;73.75;74.80;-;-;-;-
2016-01-07;GAS_BASE_W-04-16;-;-;-;-;-;-;-;-;72.00;-;-;-;-;-
2016-01-07;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;69.50;-;-;-;-;-
2016-01-07;GAS_BASE_M-02-16;71.60;71.65;71.60;71.80;17400.00;25.00;1247232.00;4.00;71.80;71.25;9389736.00;13491.00;520608.00;748.00
2016-01-07;GAS_BASE_M-03-16;-;70.75;-;-;-;-;-;-;70.00;71.50;9578756.00;12892.00;72814.00;98.00
2016-01-07;GAS_BASE_M-04-16;71.00;71.00;71.00;71.00;36000.00;50.00;2556000.00;4.00;71.00;71.00;75600.00;105.00;79200.00;110.00
2016-01-07;GAS_BASE_Q-2-16;-;70.15;-;-;-;-;-;-;70.25;70.25;9140040.00;4185.00;864864.00;396.00
2016-01-07;GAS_BASE_Q-3-16;-;69.25;-;-;-;-;-;-;69.01;69.50;8869536.00;4017.00;450432.00;204.00
2016-01-07;GAS_BASE_Q-4-16;-;74.88;-;-;-;-;-;-;74.80;74.75;9372787.00;4243.00;941034.00;426.00
2016-01-07;GAS_BASE_Q-1-17;-;76.63;-;-;-;-;-;-;76.00;77.50;2159.00;1.00;2159.00;1.00
2016-01-07;GAS_BASE_S-S-16;-;69.75;-;-;-;-;-;-;69.50;70.00;808128.00;184.00;1664568.00;379.00
2016-01-07;GAS_BASE_S-W-16;75.60;75.60;75.60;75.60;43680.00;10.00;3302208.00;2.00;75.60;75.55;1231776.00;282.00;1790880.00;410.00
2016-01-07;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-07;GAS_BASE_Y-17;74.50;74.50;74.50;74.50;8760.00;1.00;652620.00;1.00;74.50;74.50;8479680.00;968.00;9346920.00;1067.00
2016-01-07;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;70.50;77.00;-;-;-;-
2016-01-08;GAS_BASE_W-02-16;74.00;74.00;74.00;74.00;4200.00;25.00;310800.00;2.00;74.00;74.00;82320.00;490.00;84000.00;500.00
2016-01-08;GAS_BASE_W-03-16;-;-;-;-;-;-;-;-;73.50;74.75;-;-;-;-
2016-01-08;GAS_BASE_W-04-16;-;-;-;-;-;-;-;-;72.50;-;-;-;-;-
2016-01-08;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;70.75;-;-;-;-;-
2016-01-08;GAS_BASE_M-02-16;71.00;70.95;70.85;71.00;32712.00;47.00;2320464.00;7.00;71.00;70.85;9422448.00;13538.00;553320.00;795.00
2016-01-08;GAS_BASE_M-03-16;71.50;71.50;71.50;71.50;1486.00;2.00;106249.00;1.00;71.50;70.95;9580242.00;12894.00;74300.00;100.00
2016-01-08;GAS_BASE_M-04-16;70.50;70.50;70.50;70.50;46800.00;65.00;3299400.00;3.00;70.50;70.50;122400.00;170.00;126000.00;175.00
2016-01-08;GAS_BASE_Q-2-16;70.00;70.00;70.00;70.00;10920.00;5.00;764400.00;1.00;70.00;70.00;9150960.00;4190.00;875784.00;401.00
2016-01-08;GAS_BASE_Q-3-16;69.00;69.00;69.00;69.00;11040.00;5.00;761760.00;1.00;69.00;69.00;8880576.00;4022.00;461472.00;209.00
2016-01-08;GAS_BASE_Q-4-16;74.50;74.50;74.50;74.51;170093.00;77.00;12672149.40;10.00;74.51;74.50;9363951.00;4239.00;1111127.00;503.00
2016-01-08;GAS_BASE_Q-1-17;77.00;77.00;77.00;77.00;6477.00;3.00;498729.00;1.00;77.00;77.00;6477.00;3.00;8636.00;4.00
2016-01-08;GAS_BASE_S-S-16;69.40;69.40;69.40;69.40;43920.00;10.00;3048048.00;2.00;69.40;69.35;808128.00;184.00;1708488.00;389.00
2016-01-08;GAS_BASE_S-W-16;75.50;75.50;75.50;75.50;78624.00;18.00;5936112.00;2.00;75.50;75.40;1231776.00;282.00;1869504.00;428.00
2016-01-08;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-08;GAS_BASE_Y-17;74.50;74.50;74.50;74.50;52560.00;6.00;3915720.00;2.00;74.50;74.50;8532240.00;974.00;9399480.00;1073.00
2016-01-08;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;71.00;77.00;-;-;-;-
