TransactionDate,TGEgasDA
2016-01-02,72.07
2016-01-03,70.97
2016-01-04,72.21
2016-01-05,73.73
2016-01-06,74.75
2016-01-07,74.85
2016-01-08,74.24
2016-01-09,73.25
2016-01-10,73.95
2016-01-11,76.68
2016-01-12,76.73
2016-01-13,76.32
2016-01-14,73.93
2016-01-15,72.9
2016-01-16,71.17
2016-01-17,72.98
2016-01-18,73.86
2016-01-19,72.22
2016-01-20,72.57
2016-01-21,68.76
2016-01-22,68.54
2016-01-23,69.24
2016-01-24,69.51
2016-01-25,70.54
2016-01-26,69.04
2016-01-27,66.02
2016-01-28,66.77
2016-01-29,67.66
2016-01-30,61.39
2016-01-31,62.04
2016-02-01,63.93
2016-02-02,63.49
2016-02-03,62.12
2016-02-04,63.58
2016-02-05,63.53
2016-02-06,62.99
2016-02-07,60.27
2016-02-08,64.27
2016-02-09,62.49
2016-02-10,63.68
2016-02-11,62.15
2016-02-12,63.83
2016-02-13,64.4
2016-02-14,62.17
2016-02-15,66.62
2016-02-16,64.67
2016-02-17,65.98
2016-02-18,64.75
2016-02-19,64.04
2016-02-20,62.62
2016-02-21,60.21
2016-02-22,62.57
2016-02-23,62.97
2016-02-24,63.5
2016-02-25,62.41
2016-02-26,60.86
2016-02-27,61.45
2016-02-28,61.48
2016-02-29,63.59
2016-03-01,62.55
2016-03-02,62.36
2016-03-03,62.49
2016-03-04,61.65
2016-03-05,60.85
2016-03-06,61.75
2016-03-07,63.11
2016-03-08,60.74
2016-03-09,60.87
2016-03-10,60.55
2016-03-11,60.31
2016-03-12,59.47
2016-03-13,61.29
2016-03-14,62.25
2016-03-15,61.91
2016-03-16,60.57
2016-03-17,61.3
2016-03-18,60.46
2016-03-19,59.89
2016-03-20,59.91
2016-03-21,60.99
2016-03-22,59.41
2016-03-23,58.34
2016-03-24,58.01
2016-03-25,58.21
2016-03-26,57.33
2016-03-27,52.46
2016-03-28,52.82
2016-03-29,56.57
2016-03-30,57.09
2016-03-31,56.34
2016-04-01,58.16
2016-04-02,57.76
2016-04-03,57.39
2016-04-04,58.03
2016-04-05,56.87
2016-04-06,55.74
2016-04-07,56.05
2016-04-08,56.76
2016-04-09,56.47
2016-04-10,59.47
2016-04-11,62.74
2016-04-12,57.07
2016-04-13,59.44
2016-04-14,59.12
2016-04-15,58.46
2016-04-16,57.69
2016-04-17,55.89
2016-04-18,59.44
2016-04-19,59.11
2016-04-20,59.71
2016-04-21,62.19
2016-04-22,64.69
2016-04-23,65.16
2016-04-24,66.83
2016-04-25,69.4
2016-04-26,68.11
2016-04-27,69.35
2016-04-28,72.51
2016-04-29,68.82
2016-04-30,62.44
2016-05-01,64.15
2016-05-02,66.0
2016-05-03,62.96
2016-05-04,61.22
2016-05-05,61.36
2016-05-06,63.0
2016-05-07,61.97
2016-05-08,59.95
2016-05-09,60.59
2016-05-10,63.72
2016-05-11,62.21
2016-05-12,62.23
2016-05-13,63.97
2016-05-14,62.42
2016-05-15,61.93
2016-05-16,62.87
2016-05-17,61.71
2016-05-18,62.21
2016-05-19,62.44
2016-05-20,62.1
2016-05-21,59.69
2016-05-22,55.42
2016-05-23,61.06
2016-05-24,62.11
2016-05-25,62.48
2016-05-26,56.94
2016-05-27,57.73
2016-05-28,60.13
2016-05-29,59.66
2016-05-30,62.67
2016-05-31,65.43
2016-06-01,65.65
2016-06-02,64.88
2016-06-03,66.91
2016-06-04,64.68
2016-06-05,62.27
2016-06-06,66.31
2016-06-07,65.64
2016-06-08,66.72
2016-06-09,66.79
2016-06-10,64.54
2016-06-11,63.25
2016-06-12,62.49
2016-06-13,63.1
2016-06-14,62.93
2016-06-15,63.38
2016-06-16,65.44
2016-06-17,64.64
2016-06-18,64.52
2016-06-19,59.14
2016-06-20,64.39
2016-06-21,67.57
2016-06-22,67.86
2016-06-23,69.32
2016-06-24,68.49
2016-06-25,66.42
2016-06-26,63.84
2016-06-27,68.4
2016-06-28,66.8
2016-06-29,66.27
2016-06-30,66.84
2016-07-01,66.66
2016-07-02,60.46
2016-07-03,61.99
2016-07-04,65.95
2016-07-05,68.03
2016-07-06,66.75
2016-07-07,65.55
2016-07-08,66.76
2016-07-09,64.11
2016-07-10,62.26
2016-07-11,66.42
2016-07-12,64.91
2016-07-13,65.65
2016-07-14,65.72
2016-07-15,66.02
2016-07-16,65.43
2016-07-17,61.43
2016-07-18,65.95
2016-07-19,65.97
2016-07-20,65.85
2016-07-21,70.43
2016-07-22,71.44
2016-07-23,71.27
2016-07-24,68.85
2016-07-25,71.89
2016-07-26,72.06
2016-07-27,70.61
2016-07-28,70.55
2016-07-29,70.5
2016-07-30,66.93
2016-07-31,66.48
2016-08-01,67.16
2016-08-02,66.44
